?博茨瓦纳	64.12	61.8	66.51
?坦桑尼亚	64.04	62.55	65.55
?加蓬	63.65	63.15	64.07
?也门	63.51	62.18	64.88
?卢旺达	63.14	59.65	66.3
?埃塞俄比亚	63.13	61.3	65.02
?苏丹	63.08	61.6	64.6
?厄立特里亚	63.07	60.9	65.18
?科摩罗	62.83	61.2	64.5
?毛里塔尼亚	62.77	61.29	64.25
?巴布亚新几内亚	62.31	60.25	64.49
?海地	62.29	60.18	64.42
?吉布提	61.61	60.04	63.24
?刚果共和国	61.42	59.95	62.92
?加纳	61.03	60.06	61.97
?马拉维	60.97	59.86	61.98
?尼日尔	60.65	59.85	61.55
?肯尼亚	60.62	59.08	62.17
?利比里亚	60.25	59.29	61.21
?冈比亚	59.83	58.54	61.21
?阿富汗	59.82	58.67	61.06
?贝宁	59.2	57.77	60.61
?多哥	59.01	58.28	59.68
?赞比亚	58.75	57.16	60.33
?刚果民主共和国	58.1	56.67	59.53
?布基纳法索	58.07	56.73	59.33
?几内亚	58.04	57.58	58.49
?乌干达	57.25	55.67	58.83
?马里	57.23	57.44	56.98
?赤道几内亚	57.13	55.87	58.57
?南非	57.11	54.85	59.11
?布隆迪	56.07	54.18	58.04
?南苏丹	55.06	54.1	56.03
?索马里	54.88	53.28	56.51
?喀麦隆	54.87	53.74	56.02
?津巴布韦	54.78	53.6	55.95
?几内亚比绍	54.72	53	56.5
?莫桑比克	54.63	52.94	56.18
?尼日利亚	52.29	51.97	52.61
?安哥拉	51.68	50.2	53.17
?乍得	51.13	50.08	52.18
?科特迪瓦	50.97	50.21	51.85
?塞拉利昂	50.19	49.65	50.74
?中非	49.53	47.83	51.25
?莱索托	49.5	49.19	49.59
?斯威士兰	49.18	49.69	48.54
